Date,Open,High,Low,Close,Shares Traded,Turnover
16-Mar-09,3651.3,3747.75,3645.15,3736.65,47479604,1651.07
17-Mar-09,3752.2,3783.25,3615.6,3644.65,55489134,1939.12
18-Mar-09,3704,3777.4,3704,3727.65,38134868,1439.96
19-Mar-09,3759.25,3802.1,3668.15,3763.5,46558218,1751.79
20-Mar-09,3753.1,3753.1,3665.1,3691.7,31944914,1203.58
23-Mar-09,3763.75,3963.65,3743,3944.75,43940838,1661.68
24-Mar-09,4016.25,4184.65,3982.8,4008.05,55496814,2323.63
25-Mar-09,4013.7,4145.3,3993.1,4126.45,45708935,1911.02
26-Mar-09,4179.25,4311.7,4167.2,4285.15,56961338,2463.68
27-Mar-09,4282.35,4423.65,4262.95,4406.8,43875643,1925.47
30-Mar-09,4368.05,4368.05,4009.35,4035.7,44575226,1777.69
31-Mar-09,4071.6,4213.15,3871.45,4133.2,72443431,2919.77
01-Apr-09,4153.55,4225.85,4023.45,4211.45,46426350,1878.36
02-Apr-09,4322.2,4489.85,4322.2,4426.05,52413527,2247.52
06-Apr-09,4501.25,4610.65,4412.2,4487.1,49563855,2119.16
08-Apr-09,4325.1,4504.4,4259.65,4479.35,45329221,1977
09-Apr-09,4566.7,4639.5,4445.25,4584.8,55663105,2431.26
13-Apr-09,4661.95,4869.3,4661.95,4818,37021049,1682.98
15-Apr-09,4717.35,5104.15,4691.8,5049.45,52804426,2483.02
16-Apr-09,5079.2,5169.2,4892.05,4915.75,56905648,2622.72
17-Apr-09,4939.65,5193.3,4939.65,5056.9,45660805,2241.93
20-Apr-09,5107,5201.9,4950.55,5009.2,38065664,1889.6
21-Apr-09,4959.15,4960.65,4824.3,4853.9,48018426,2222.54
22-Apr-09,4865,4964.75,4777.1,4813.3,34464384,1594.69
23-Apr-09,4825.2,5013.9,4725.7,4968.4,34637823,1607.3
24-Apr-09,4968.35,5151.2,4963.2,5125.35,44854706,1971.83
27-Apr-09,5042,5288.7,5025.75,5182.75,58499623,2665.8
28-Apr-09,5169.5,5231.9,4909.4,4931.3,43430191,2044.98
29-Apr-09,4958,5158.05,4958,5130.95,52287587,2294.54
04-May-09,5291.25,5514.2,5291.25,5504.05,51001471,2491.19
05-May-09,5540.6,5626.3,5488.9,5596.2,55488630,2833.82
06-May-09,5607,5649.4,5403.4,5446.45,54146034,2737.92
07-May-09,5551.8,5591.15,5481.35,5577.3,37737775,1704.83
08-May-09,5570,5570,5352,5409.75,35417670,1909.1
11-May-09,5463.6,5531.25,5313.15,5343.6,37202323,2198.45
12-May-09,5336,5611.95,5315.6,5585.55,47268013,2426.56
13-May-09,5597.85,5628.25,5475.2,5523.75,47606611,2575.68
14-May-09,5415.55,5515.95,5330.5,5495.1,39295684,2059.05
15-May-09,5519.35,5719.45,5519.35,5695.05,42466091,2233
18-May-09,6304.25,6822.9,6304.25,6766.55,376305,25.78
19-May-09,7129.65,7567.9,6603.05,7268.2,88937671,6105.37
20-May-09,7168.75,7314,7093.15,7144.75,45023197,2921.76
21-May-09,7124.4,7215.7,6904.6,6934.55,42300209,2731.69
22-May-09,6856.8,7065.7,6819.85,7036.3,38994353,2380.9
25-May-09,7033.7,7100.55,6964.55,7064.7,25367630,1596.08
26-May-09,7072.7,7142.05,6813.1,6851.1,25573104,1732.34
27-May-09,7013.8,7234.05,7013.8,7215.2,26964148,1928.57
28-May-09,7202.35,7376.05,7143.4,7338.6,42525652,2989.31
29-May-09,7373.9,7496.75,7362.9,7416,31676768,2083.5
01-Jun-09,7559.3,7559.3,7287.15,7364.05,31978183,2098.04
02-Jun-09,7399.9,7452.65,7134.5,7343.2,37071682,2447.17
03-Jun-09,7361.35,7425.65,7187.45,7262.3,29336347,1940.35
04-Jun-09,7176.8,7362.55,7111.95,7349.9,41216088,2149.14
05-Jun-09,7418.8,7448.7,7308.85,7343.3,38746658,2192.39
08-Jun-09,7322.1,7362.15,6938.55,6975.05,25953348,1557.72
09-Jun-09,6909.5,7207.05,6909.5,7185.75,49282816,2083.4
10-Jun-09,7230.2,7402,7230.2,7338.95,46537401,2456.43
11-Jun-09,7368.85,7368.85,7176.4,7251.65,35259613,1806.89
12-Jun-09,7334.55,7338.05,7063.85,7083.1,29916683,1808.25
15-Jun-09,7013.55,7192.85,6986.05,7081.2,26936767,1466.02
16-Jun-09,7037.35,7295.05,6970.6,7274.15,48754331,2029.87
17-Jun-09,7275.1,7339.25,7032.6,7081.75,32851499,1760.54
18-Jun-09,7082.75,7251.95,6967,7081.15,45328670,2176.82
19-Jun-09,7147.95,7262,7017,7223.55,42384589,1982.09
22-Jun-09,7261.5,7402.85,7196.95,7229.55,33201738,1846.47
23-Jun-09,7108,7129.45,6989.1,7091.3,38242151,2040.01
24-Jun-09,7147.1,7147.1,7015.4,7107.9,33161610,1636.05
25-Jun-09,7158.95,7239.95,7100.25,7123,39146282,2128.56
26-Jun-09,7182.2,7417.5,7160,7398.45,31376868,2054.27
29-Jun-09,7446.45,7626.95,7381.8,7508.6,34053035,2315.97
30-Jun-09,7538.65,7577.6,7303.35,7338.85,31059480,1963.87
01-Jul-09,7325.1,7484.25,7270.3,7452.6,26227693,1676.14
02-Jul-09,7466.6,7468.7,7285.85,7397.95,26865306,1479.49
03-Jul-09,7344.55,7586.7,7318.45,7566.05,21887127,1497.14
06-Jul-09,7566.05,7711.4,6859.9,6946.45,40672621,2590.54
07-Jul-09,7007.2,7087.45,6873.75,6952.6,33359572,2172.57
08-Jul-09,6870.25,6870.25,6619.3,6661.75,35163770,2112.66
09-Jul-09,6654.7,6747.8,6542.4,6672.75,28975184,1783.22
10-Jul-09,6673.95,6761.3,6469,6520.6,23042659,1399.14
13-Jul-09,6456.9,6565.4,6393.5,6531.3,25746500,1587.1
14-Jul-09,6649.5,6787.15,6649.5,6756.4,28097234,1766.32
15-Jul-09,6827.75,6979.3,6736.55,6938.7,39429005,1919.45
16-Jul-09,7028.5,7066.1,6859.3,6912.4,29226991,1544.4
17-Jul-09,6897.2,7253.3,6897.2,7231.05,31608694,1852.68
20-Jul-09,7273.95,7546.35,7239.4,7530.2,34644335,1967.64
21-Jul-09,7547.5,7547.5,7385.55,7430.4,29709792,1774.99
22-Jul-09,7464.9,7614.75,7289.85,7329.55,34304811,2074.07
23-Jul-09,7421.35,7513.75,7369.3,7473.5,29776030,1894.95
24-Jul-09,7536.85,7552.6,7351.3,7385.55,27779073,1801.96
